datecurrent,fireyear,incidentname,perimeterdatetime,gisacres,lat,lon,geometry,index_right,NAME,fire_date,year,month,lon_adj,date,temp_month,precip_month
2012-08-24 00:00:00,2012,Dripping Rock,2012-07-22 15:00:00,27.13156551,40.682210909471564,-108.83242540238494,POINT (-108.83242540238494 40.682210909471564),286,Moffat County,2012-07-22 15:00:00,2012,7,251.16757459761504,2012-07-22 15:00:00,76.69352539062504,0.01442636863568332
2012-02-10 00:00:00,2010,Dry Canyon,2010-06-19 00:00:00,25.55167208,37.608307211257575,-108.52958797903094,POINT (-108.52958797903094 37.608307211257575),287,Montezuma County,2010-06-19 00:00:00,2010,6,251.47041202096906,2010-06-19 00:00:00,62.69166992187505,0.017501438626935123
2010-09-15 00:00:00,2008,Dry Creek,2008-07-14 17:51:00,7.65793104,39.40364402562719,-108.0323542214812,POINT (-108.0323542214812 39.40364402562719),268,Garfield County,2008-07-14 17:51:00,2008,7,251.9676457785188,2008-07-14 17:51:00,69.18327148437504,0.01584683799336199
2013-09-30 00:00:00,2009,Dry Creek,2009-08-01 00:00:00,178.4062359,38.40515754534978,-108.06536895883802,POINT (-108.06536895883802 38.40515754534978),288,Montrose County,2009-08-01 00:00:00,2009,8,251.934631041162,2009-08-01 00:00:00,63.24318359375005,0.023714652602362912
2011-07-15 00:00:00,2011,Dry Creek,2011-07-14 16:00:00,25.67442101,38.18289269923299,-108.60919468371299,POINT (-108.60919468371299 38.18289269923299),288,Montrose County,2011-07-14 16:00:00,2011,7,251.39080531628701,2011-07-14 16:00:00,74.57228515625005,0.03167029207756277
2011-05-31 00:00:00,2010,Dry Creek 2,2011-05-28 00:30:00,10.59742477,38.53935355343847,-108.06001636675437,POINT (-108.06001636675437 38.53935355343847),288,Montrose County,2011-05-28 00:30:00,2011,5,251.93998363324562,2011-05-28 00:30:00,49.271210937500044,0.06906228114734404
2011-05-31 00:00:00,2005,Dry Fork,2005-09-16 00:00:00,29.620505,38.582009404735494,-108.33236528838255,POINT (-108.33236528838255 38.582009404735494),288,Montrose County,2005-09-16 00:00:00,2005,9,251.66763471161744,2005-09-16 00:00:00,60.90001953125004,0.06596074613502714
2010-10-13 00:00:00,2006,Dry Fork,2006-04-30 09:43:00,63.45735005,39.968570078008305,-108.12840811914187,POINT (-108.12840811914187 39.968570078008305),297,Rio Blanco County,2006-04-30 09:43:00,2006,4,251.87159188085815,2006-04-30 09:43:00,42.13844726562504,0.05809316527345218
2011-05-27 00:00:00,2002,Dry Park,2002-12-31 00:00:00,12.37926681,38.20689002641117,-108.27751240452994,POINT (-108.27751240452994 38.20689002641117),288,Montrose County,2002-12-31 00:00:00,2002,12,251.72248759547006,2002-12-31 00:00:00,24.25973632812504,0.032185828900430355
2010-10-14 00:00:00,2009,Duck Creek,2009-07-19 00:00:00,330.35413189,39.9785864986429,-108.42641337574464,POINT (-108.42641337574464 39.9785864986429),297,Rio Blanco County,2009-07-19 00:00:00,2009,7,251.57358662425537,2009-07-19 00:00:00,72.21110351562504,0.012046260678954424
2011-06-30 00:00:00,2011,Duckett,2011-06-29 22:38:00,4613.77409399,38.25220148540208,-105.66374237424279,POINT (-105.66374237424279 38.25220148540208),259,Custer County,2011-06-29 22:38:00,2011,6,254.3362576257572,2011-06-29 22:38:00,60.69655273437505,0.0137469427842414
2012-12-03 00:00:00,2012,Dudley,2012-08-10 00:00:00,1.64251087,39.90358164253955,-108.24328228858006,POINT (-108.24328228858006 39.90358164253955),297,Rio Blanco County,2012-08-10 00:00:00,2012,8,251.75671771141992,2012-08-10 00:00:00,71.20563476562504,0.037673430137196554
2010-09-15 00:00:00,2004,EAST BRANCH,2004-07-02 17:17:00,17.14343981,39.56157091352716,-108.86494479834263,POINT (-108.86494479834263 39.56157091352716),268,Garfield County,2004-07-02 17:17:00,2004,7,251.13505520165737,2004-07-02 17:17:00,69.57921875000005,0.04071575830150396
2012-08-14 00:00:00,2012,East Coal Creek,2012-08-13 00:00:00,137.59701482,38.546680793813714,-107.28279911115729,POINT (-107.28279911115729 38.546680793813714),271,Gunnison County,2012-08-13 00:00:00,2012,8,252.7172008888427,2012-08-13 00:00:00,62.307587890625044,0.07298040133402683
2010-09-15 00:00:00,2003,East Divide,2003-09-14 00:00:00,13.26358274,39.43258646823337,-107.50257793549298,POINT (-107.50257793549298 39.43258646823337),268,Garfield County,2003-09-14 00:00:00,2003,9,252.49742206450702,2003-09-14 00:00:00,49.72252929687504,0.049877199914981615
2011-11-07 00:00:00,2010,East Fork,2010-07-19 00:00:00,751.44031054,40.22916248667606,-108.38596992241686,POINT (-108.38596992241686 40.22916248667606),286,Moffat County,2010-07-19 00:00:00,2010,7,251.61403007758315,2010-07-19 00:00:00,76.38063476562505,0.015661173787910956
2012-04-11 00:00:00,2012,East Fork,2012-04-09 20:00:00,24.45952966,37.37814361546141,-106.888214081806,POINT (-106.888214081806 37.37814361546141),248,Archuleta County,2012-04-09 20:00:00,2012,4,253.11178591819402,2012-04-09 20:00:00,38.09108398437504,0.06386575045528589
2013-07-05 00:00:00,2013,East Fork,2013-07-04 23:38:00,349.54923519,38.207508596620386,-107.48813233807547,POINT (-107.48813233807547 38.207508596620386),271,Gunnison County,2013-07-04 23:38:00,2013,7,252.51186766192453,2013-07-04 23:38:00,55.19899414062505,0.1340355864894809
,2001,East Greasewood,2001-07-20 00:00:00,1131.25945426,40.09058326719822,-108.4512996186008,POINT (-108.4512996186008 40.09058326719822),297,Rio Blanco County,2001-07-20 00:00:00,2001,7,251.54870038139921,2001-07-20 00:00:00,73.14713867187504,0.01463111992261256
2013-07-01 00:00:00,2013,East Peak,2013-06-28 21:53:00,13495.91708629,37.43304465035573,-104.88143408779781,POINT (-104.88143408779781 37.43304465035573),273,Huerfano County,2013-06-28 21:53:00,2013,6,255.1185659122022,2013-06-28 21:53:00,63.232636718750044,0.06408730176554528
2017-07-10 00:00:00,2017,East Rim,2017-07-08 15:00:00,662.71438897,37.878709978170576,-108.79885992857687,POINT (-108.79885992857687 37.878709978170576),262,Dolores County,2017-07-08 15:00:00,2017,7,251.20114007142314,2017-07-08 15:00:00,72.76789062500004,0.053630111087625845
2013-07-26 00:00:00,2013,East Tschuddi,2013-07-25 20:02:00,646.34956369,40.175749973247285,-108.16358323998725,POINT (-108.16358323998725 40.175749973247285),297,Rio Blanco County,2013-07-25 20:02:00,2013,7,251.83641676001275,2013-07-25 20:02:00,75.43844726562504,0.022661666281265206
2010-10-21 00:00:00,2010,Echo Lake,2010-08-14 00:00:00,46.23372309,39.45478828224025,-108.65617261539737,POINT (-108.65617261539737 39.45478828224025),268,Garfield County,2010-08-14 00:00:00,2010,8,251.34382738460263,2010-08-14 00:00:00,66.65246093750005,0.04617644191802247
,2001,Ecklund,2001-07-22 00:00:00,2028.82480141,40.66212047077023,-108.94633064905787,POINT (-108.94633064905787 40.66212047077023),286,Moffat County,2001-07-22 00:00:00,2001,7,251.05366935094213,2001-07-22 00:00:00,74.96471679687505,0.015803853675042046
2015-07-01 00:00:00,2015,Ecklund,2015-06-30 00:00:00,526.75166492,40.65005603190561,-108.94544357802688,POINT (-108.94544357802688 40.65005603190561),286,Moffat County,2015-06-30 00:00:00,2015,6,251.05455642197313,2015-06-30 00:00:00,71.36647460937505,0.030214934770739638
2017-08-08 00:00:00,2017,Eight Four Two,2017-08-07 14:00:00,5.00164219,37.17552827573621,-107.37466933930867,POINT (-107.37466933930867 37.17552827573621),248,Archuleta County,2017-08-07 14:00:00,2017,8,252.62533066069133,2017-08-07 14:00:00,63.40534179687504,0.027207909342675703
2014-07-29 00:00:00,2014,Elk Springs,2014-07-28 19:20:00,437.47972933,40.34111510367009,-108.42951135908584,POINT (-108.42951135908584 40.34111510367009),286,Moffat County,2014-07-28 19:20:00,2014,7,251.57048864091416,2014-07-28 19:20:00,77.24416015625005,0.04282396758573596
2012-07-05 00:00:00,2012,Escarpment,2012-07-04 00:00:00,41.27441045,37.26086141464083,-108.58674724222719,POINT (-108.58674724222719 37.26086141464083),287,Montezuma County,2012-07-04 00:00:00,2012,7,251.4132527577728,2012-07-04 00:00:00,73.22360351562504,0.04150367045828607
2012-03-05 00:00:00,2003,Experimental Station,2003-07-29 00:00:00,153.36935991,37.3632069712787,-102.75318823006083,POINT (-102.75318823006083 37.3632069712787),249,Baca County,2003-07-29 00:00:00,2003,7,257.2468117699392,2003-07-29 00:00:00,81.61891601562505,0.030440191665192833
